,Centre,SeriesNum,PET/CT,5minPET,Manufacturer,Scanner,Skull,FrameNum,Activity,image_ref_index,DCM_path,Slice Thickness,Rows,Columns,Number of Slices,Pixel Spacing
128,Christie,15,P,True,GE,DSTE8,False,3.0,,66.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_CTAC_2x20_128_30cm_2-14mm/Frame3/,3.27,128,128,47.0,"[2.34375, 2.34375]"
129,Christie,16,P,True,GE,DSTE8,False,4.0,,66.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_CTAC_2x20_128_30cm_2-14mm/Frame4/,3.27,128,128,47.0,"[2.34375, 2.34375]"
130,Christie,17,P,True,GE,DSTE8,False,5.0,,66.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_CTAC_2x20_128_30cm_2-14mm/Frame5/,3.27,128,128,47.0,"[2.34375, 2.34375]"
131,Christie,18,P,True,GE,DSTE8,False,6.0,,66.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_CTAC_2x20_128_30cm_2-14mm/Frame6/,3.27,128,128,47.0,"[2.34375, 2.34375]"
132,Christie,19,P,True,GE,DSTE8,False,1.0,11.546382097967001,53.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame1/,3.27,128,128,47.0,"[1.953125, 1.953125]"
133,Christie,20,P,True,GE,DSTE8,False,2.0,11.187301017271809,53.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame2/,3.27,128,128,47.0,"[1.953125, 1.953125]"
134,Christie,21,P,True,GE,DSTE8,False,3.0,10.839387003578143,53.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame3/,3.27,128,128,47.0,"[1.953125, 1.953125]"
135,Christie,22,P,True,GE,DSTE8,False,4.0,10.502292772130218,53.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame4/,3.27,128,128,47.0,"[1.953125, 1.953125]"
136,Christie,23,P,True,GE,DSTE8,False,5.0,10.175681838385195,53.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame5/,3.27,128,128,47.0,"[1.953125, 1.953125]"
137,Christie,24,P,True,GE,DSTE8,False,6.0,9.859228182137223,53.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame6/,3.27,128,128,47.0,"[1.953125, 1.953125]"
138,Christie,25,C,False,GE,DSTE8,False,,,51.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Hoffman_CT_2-5mm_25cm/,3.75,512,512,61.0,"[0.488281, 0.488281]"
139,Christie,26,C,False,GE,DSTE8,False,,,52.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Hoffman_CT_3-27mm_AC_50cm/,3.75,512,512,47.0,"[0.976562, 0.976562]"
140,Christie,27,P,False,GE,DSTE8,False,,,54.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_3D_CTAC_Iterative/,3.27,128,128,47.0,"[2.34375, 2.34375]"
141,Christie,28,P,False,GE,DSTE8,False,,,55.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_3D_noAC_Iterative/,3.27,128,128,47.0,"[2.34375, 2.34375]"
